course_code,name,rating
MUSI UN3400,Aaron A Fox,4.0
SPMG PS5010,Aaron S Wallen,2.3333333333333335
SPMG PS5010,Aaron S Wallen,2.3333333333333335
HCM_ PS5160,Aaron S Wallen,2.3333333333333335
POLS GU4712,Abdullah Aydogan,4.5
POLS UN3704,Abdullah Aydogan,4.5
POPF P8624,Abigail R Greenleaf,2.5
POPF P8624,Abigail R Greenleaf,2.5
POPF P8624,Abigail R Greenleaf,2.5
POPF P8624,Abigail R Greenleaf,2.5
ENGL CC1010,Abigail R Melick,4.0
ENGL CC1010,Abigail R Melick,4.0
PHIL UN3912,Achille Varzi,3.7353
COMS W4995,Adam Kelleher,1.0
HIST UN1943,Adam Kosto,3.1304
HIST GR8989,Adam Tooze,4.666666666666667
ECON BC1003,Alan Dye,2.7273
DSPC IA7500,Alan S Yang,3.2
WRIT UN3010,Alan Ziegler,4.25
STAT GU4243,Alex Pijyan,3.7692
STAT GR5243,Alex Pijyan,3.7692
STAT UN1101,Alex Pijyan,3.7692
NSBV BC3594,Alex White,4.25
APAN PS5520,Alexander Clark,3.2
ENGL CC1010,Alexander M Burchfield,3.5
ENGL GS1010,Alexander M Burchfield,3.5
ENGL BC3106,Alexandra P Watson,2.7778
FYWB BC1001,Alexandra P Watson,2.7778
MATH GR5360,Alexei Chekhlov,4.0
NSBV BC1001,Alexis S Hill,4.0
TMGT PS5122,Alexis Wichowski,3.0
HIST BC2699,Alfonso Salgado,4.25
ENGL GS1010,Allison T Fowler,3.25
ENGL CC1010,Allison T Fowler,3.25
COCI CC1102,Amnah Almukhtar,2.0
OHMA GR5011,Amy A Starecheski,3.0
SOSC P8777,Angela A Aidala,3.0
SOCI BC3943,Angela Simms,4.0
CHEM UN1408,Angelo Cacciuto,3.25
CHEM UN1408,Angelo Cacciuto,3.25
ECON BC3063,Anja Tolonen,2.8333333333333335
FREN BC3016,Anne Boyman,3.619
FREN BC3110,Anne Boyman,3.619
AHIS GR8026,Anne Higonnet,2.9474
DNCE BC2138,Antonio Carmena,4.0
DNCE BC3141,Antonio Carmena,4.0
HIST BC2803,Anupama Rao,3.3333
ELEN E6772,Anwar I Walid,5.0
BIET PS5320,Arthur Kuflik,3.0
BIET PS5340,Arthur Kuflik,3.0
ECON BC3024,Ashley Timmer,3.5
DNCE BC3141,Ashley Tuttle,4.0
ECBM E4070,Aurel A Lazar,1.0
ECBM E6070,Aurel A Lazar,1.0
HUMA CC1002,Austin Graham,3.1111
ENGL CC1010,Austin L Mantele,4.7857
HUMA CC1002,Ayten Tartici,5.0
STAT UN1201,Banu Baydil,2.9333
EEEB GR5851,Bekka Brodie,2.0
CHAP E4120,Ben O'Shaughnessy,2.25
FREN BC3022,Brian D O'Keeffe,3.5667
ANTH UN3663,Camilla Sturm,3.1429
PSYC GU4440,Carl Hart,2.8222
HUMA CC1002,Carlos Nugent,4.2
DNCE BC1331,Caroline Fermin,4.6667
DNCE BC2333,Caroline Fermin,4.6667
ENGL GS1010,Catherine Y Kirch,2.0
CHEM UN2444,Charles E Jr Doubleday,2.3333
CHEM UN2450,Charles E Jr Doubleday,2.3333
CHEM UN2450,Charles E Jr Doubleday,2.3333
CHEM UN2450,Charles E Jr Doubleday,2.3333
CHEM UN2450,Charles E Jr Doubleday,2.3333
HUMA UN1121,Christia Mercer,3.7188
ENGL GS1010,Christine A Prevas,3.0
IEOR E4630,Christopher A Perez,4.0
PSYC UN1611,Christopher Baldassano,3.0
PSYC UN1611,Christopher Baldassano,3.0
CHEM UN1406,Christopher Eckdahl,3.9231
CHEM UN1406,Christopher Eckdahl,3.9231
CHEM UN2446,Christopher Eckdahl,3.9231
CHEM UN2446,Christopher Eckdahl,3.9231
CHEM UN2446,Christopher Eckdahl,3.9231
CHEM UN2446,Christopher Eckdahl,3.9231
PHIL GU4060,Christopher P Prodoehl,4.0
SUMA PS5180,Claudia Dreifus,4.0
ECPS GU4921,Claudia Halbac,3.5
DNCE BC3338,Colleen Thomas,4.6
DNCE BC3593,Colleen Thomas,4.6
ENGL UN3042,Colm Toibin,2.0
RELI GU4217,Courtney Bender,3.1
PHED BC1693,Cynthia Lanzas,4.5
PHED BC1532,Cynthia Lanzas,4.5
