name,rating
Aaron A Fox,4.0
Aaron S Wallen,2.3333333333333335
Abdullah Aydogan,4.5
Abigail R Greenleaf,2.5
Abigail R Melick,4.0
Achille Varzi,3.7353
Adam Kelleher,1.0
Adam Kosto,3.1304
Adam Tooze,4.666666666666667
Alan Dye,2.7273
Alan S Yang,3.2
Alan Ziegler,4.25
Alex Pijyan,3.7692
Alex White,4.25
Alexander Clark,3.2
Alexander M Burchfield,3.5
Alexandra P Watson,2.7778
Alexei Chekhlov,4.0
Alexis S Hill,4.0
Alexis Wichowski,3.0
Alfonso Salgado,4.25
Allison T Fowler,3.25
Amnah Almukhtar,2.0
Amy A Starecheski,3.0
Angela A Aidala,3.0
Angela Simms,4.0
Angelo Cacciuto,3.25
Anja Tolonen,2.8333333333333335
Anne Boyman,3.619
Anne Higonnet,2.9474
Antonio Carmena,4.0
Anupama Rao,3.3333
Anwar I Walid,5.0
Arthur Kuflik,3.0
Ashley Timmer,3.5
Ashley Tuttle,4.0
Aurel A Lazar,1.0
Austin Graham,3.1111
Austin L Mantele,4.7857
Ayten Tartici,5.0
Banu Baydil,2.9333
Bekka Brodie,2.0
Ben O'Shaughnessy,2.25
Brian D O'Keeffe,3.5667
Camilla Sturm,3.1429
Carl Hart,2.8222
Carlos Nugent,4.2
Caroline Fermin,4.6667
Catherine Y Kirch,2.0
Charles E Jr Doubleday,2.3333
Christia Mercer,3.7188
Christine A Prevas,3.0
Christopher A Perez,4.0
Christopher Baldassano,3.0
Christopher Eckdahl,3.9231
Christopher P Prodoehl,4.0
Claudia Dreifus,4.0
Claudia Halbac,3.5
Colleen Thomas,4.6
Colm Toibin,2.0
Courtney Bender,3.1
Cynthia Lanzas,4.5
Dana March,3.0
Dana Neacsu,5.0
Daniel D Kalderon,2.0
Daniel Lacker,4.5
Daniel Rabinowitz,3.0909
Daniel S Rubenstein,2.8333
Daniel Taeyoung Lee,3.0
Daniela Kempf,4.5
Darcy B Kelley,3.2857
David Albert,2.931
David D Yao,3.6
David G Vallancourt,4.0
David Mcgrath,2.375
David Schiminovich,3.6
Debra Minkoff,2.8333
Denise Cruz,5.0
Denise Milstein,3.625
Diana Mellon,2.5
Dobrin Marchev,4.25
